Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
234,South Georgia and the South Sandwich Islands,Latin America,23,19,108,0,4.7,6
235,French Southern Territories,Pacific Region,6,6,182,0,30.33,5
236,Christmas Island,Pacific Region,7,7,78,0,11.14,4
237,Tokelau,Pacific Region,11,10,708,1,64.36,4
238,Bouvet Island,Western Europe,8,7,48,0,6,3
239,Saint Pierre and Miquelon,Northern America,8,7,146,0,18.25,3
240,Saint Martin (Dutch),Latin America,22,21,26,0,1.18,3
241,Heard Island and McDonald Islands,Pacific Region,2,2,13,0,6.5,2
242,Pitcairn,Pacific Region,3,1,22,0,7.33,2
243,Saint Martin (French),Latin America,6,6,7,0,1.17,1
